event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,linked_tourist_visit,name,sex,age_years,age_category,immunocompromised,status,altitude_m,year,month,quarter,season,rainfall_mm,temp_mean_c,humidity_pct,is_respiratory,is_severe,is_fatal
GHE-04020,G-0025,2016-09-27,Susa,respiratory,fatal,20,False,True,tourism_linked,2016-09-20,Bigurura,M,1,infant,False,alive,3200,2016,9,3,dry_long,1.53,14.0,48.8,1,1,1
GHE-04023,G-0025,2016-10-22,Susa,respiratory,fatal,18,False,True,tourism_linked,2016-10-09,Bigurura,M,1,infant,False,alive,3200,2016,10,4,wet_short,5.87,12.2,79.3,1,1,1
GHE-04034,G-0025,2017-01-04,Susa,other,fatal,10,False,False,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2017,1,1,dry_short,0.33,13.4,59.7,0,1,1
GHE-04048,G-0025,2017-03-23,Susa,respiratory,fatal,17,False,False,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2017,3,1,wet_long,6.14,10.6,89.4,1,1,1
GHE-03963,G-0025,2015-10-16,Susa,respiratory,fatal,11,False,True,tourism_linked,2015-10-06,Bigurura,M,1,infant,False,alive,3200,2015,10,4,wet_short,5.61,10.8,83.8,1,1,1
GHE-20704,G-0105,2022-01-15,Umubano,respiratory,fatal,14,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2022,1,1,dry_short,0.61,15.1,69.6,1,1,1
GHE-20712,G-0105,2022-03-21,Umubano,respiratory,fatal,10,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2022,3,1,wet_long,4.3,9.9,86.0,1,1,1
GHE-20715,G-0105,2022-03-27,Umubano,respiratory,fatal,17,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2022,3,1,wet_long,18.73,11.9,79.7,1,1,1
GHE-20717,G-0105,2022-04-05,Umubano,respiratory,fatal,5,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2022,4,2,wet_long,3.04,10.4,93.6,1,1,1
GHE-20720,G-0105,2022-04-16,Umubano,other,fatal,11,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2022,4,2,wet_long,5.44,11.1,86.7,0,1,1
GHE-20743,G-0105,2022-10-06,Umubano,respiratory,fatal,10,False,False,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2022,10,4,wet_short,6.12,12.0,78.6,1,1,1
GHE-20746,G-0105,2022-10-13,Umubano,respiratory,fatal,13,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2022,10,4,wet_short,1.4,12.3,69.5,1,1,1
GHE-00041,G-0001,2016-07-23,Susa,respiratory,fatal,9,False,True,tourism_linked,2016-07-14,Akagera,M,28,silverback,False,alive,3200,2016,7,3,dry_long,0.92,13.1,50.2,1,1,1
GHE-04064,G-0025,2017-05-31,Susa,respiratory,fatal,13,False,True,tourism_linked,2017-05-29,Bigurura,M,1,infant,False,alive,3200,2017,5,2,wet_long,61.0,10.1,91.6,1,1,1
GHE-04068,G-0025,2017-07-20,Susa,respiratory,fatal,11,False,False,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2017,7,3,dry_long,0.64,15.2,54.9,1,1,1
GHE-04078,G-0025,2017-10-07,Susa,respiratory,fatal,9,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2017,10,4,wet_short,7.42,10.7,82.7,1,1,1
GHE-04079,G-0025,2017-10-29,Susa,respiratory,fatal,11,False,True,tourism_linked,2017-10-15,Bigurura,M,1,infant,False,alive,3200,2017,10,4,wet_short,1.22,12.9,78.8,1,1,1
GHE-20647,G-0105,2021-01-28,Umubano,dermatological,fatal,16,False,False,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2021,1,1,dry_short,2.72,13.0,61.6,0,1,1
GHE-20653,G-0105,2021-03-03,Umubano,respiratory,fatal,6,False,True,maternal_intragroup,,Inzira,F,1,infant,False,alive,2700,2021,3,1,wet_long,29.07,9.9,86.1,1,1,1
GHE-00057,G-0001,2017-02-27,Susa,respiratory,fatal,21,False,True,tourism_linked,2017-02-17,Akagera,M,28,silverback,False,alive,3200,2017,2,1,dry_short,2.63,13.2,63.4,1,1,1
GHE-20690,G-0105,2021-10-23,Umubano,respiratory,fatal,21,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2021,10,4,wet_short,16.93,11.3,75.3,1,1,1
GHE-20700,G-0105,2021-12-05,Umubano,respiratory,fatal,15,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2021,12,4,dry_short,0.5,13.2,64.8,1,1,1
GHE-04115,G-0025,2018-05-04,Susa,respiratory,fatal,9,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2018,5,2,wet_long,8.0,10.7,86.0,1,1,1
GHE-04138,G-0025,2018-10-20,Susa,respiratory,fatal,20,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2018,10,4,wet_short,15.96,10.5,82.9,1,1,1
GHE-04139,G-0025,2018-10-27,Susa,respiratory,fatal,15,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2018,10,4,wet_short,2.98,10.7,79.0,1,1,1
GHE-03927,G-0025,2015-02-17,Susa,respiratory,fatal,15,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2015,2,1,dry_short,0.94,12.8,57.5,1,1,1
GHE-04154,G-0025,2019-02-01,Susa,respiratory,fatal,16,False,True,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2019,2,1,dry_short,0.24,13.7,68.8,1,1,1
GHE-04180,G-0025,2019-08-22,Susa,respiratory,fatal,10,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2019,8,3,dry_long,3.64,13.1,46.7,1,1,1
GHE-04184,G-0025,2019-09-20,Susa,respiratory,fatal,12,False,False,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2019,9,3,dry_long,5.7,14.2,64.9,1,1,1
GHE-03905,G-0024,2023-10-06,Susa,gastrointestinal,fatal,20,False,True,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2023,10,4,wet_short,2.4,10.4,80.7,0,1,1
GHE-03914,G-0024,2023-12-06,Susa,respiratory,fatal,17,False,True,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2023,12,4,dry_short,0.77,13.4,63.5,1,1,1
GHE-03916,G-0024,2023-12-12,Susa,respiratory,fatal,13,False,False,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2023,12,4,dry_short,0.3,13.5,68.1,1,1,1
GHE-04222,G-0025,2020-04-21,Susa,respiratory,fatal,21,False,False,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2020,4,2,wet_long,8.72,9.5,79.7,1,1,1
GHE-04229,G-0025,2020-05-09,Susa,other,fatal,6,False,True,background_seasonal,,Bigurura,M,1,infant,False,alive,3200,2020,5,2,wet_long,16.63,10.2,81.7,0,1,1
GHE-04233,G-0025,2020-05-29,Susa,respiratory,fatal,14,False,False,maternal_intragroup,,Bigurura,M,1,infant,False,alive,3200,2020,5,2,wet_long,4.73,10.9,77.2,1,1,1
GHE-03892,G-0024,2023-07-10,Susa,respiratory,fatal,12,False,False,background_seasonal,,Ndeze,M,0,infant,False,alive,3200,2023,7,3,dry_long,0.32,13.6,54.6,1,1,1
GHE-03898,G-0024,2023-09-09,Susa,respiratory,fatal,8,False,True,maternal_intragroup,,Ndeze,M,0,infant,False,alive,3200,2023,9,3,dry_long,1.36,12.3,51.0,1,1,1
GHE-03902,G-0024,2023-10-02,Susa,respiratory,fatal,18,False,True,tourism_linked,2023-09-21,Ndeze,M,0,infant,False,alive,3200,2023,10,4,wet_short,3.62,10.0,78.4,1,1,1
GHE-20608,G-0105,2020-05-19,Umubano,gastrointestinal,fatal,16,False,True,background_seasonal,,Inzira,F,1,infant,False,alive,2700,2020,5,2,wet_long,7.61,9.9,73.8,0,1,1
