event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,n_sym_tourists_in_window,days_since_earliest_exposure,max_severity_score,tourism_proximate,max_severity_in_window,linkage_confidence,attributed_source,age_category,immunocompromised
GHE-00001,G-0001,2015-01-29,Susa,respiratory,moderate,15,1,1,background_seasonal,4,1.0,2,True,moderate,0.92,tourism_attributed,silverback,False
GHE-00002,G-0001,2015-02-13,Susa,respiratory,moderate,16,1,1,tourism_linked,6,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00003,G-0001,2015-02-17,Susa,respiratory,severe,22,1,1,tourism_linked,7,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00004,G-0001,2015-02-16,Susa,respiratory,severe,29,1,1,background_seasonal,6,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00005,G-0001,2015-03-10,Susa,dermatological,moderate,10,1,1,background_seasonal,3,3.0,1,True,mild,0.77,tourism_attributed,silverback,False
GHE-00006,G-0001,2015-04-02,Susa,respiratory,moderate,11,1,0,background_seasonal,2,2.0,1,True,mild,0.67,tourism_attributed,silverback,False
GHE-00007,G-0001,2015-04-22,Susa,respiratory,moderate,8,1,0,background_seasonal,8,2.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00008,G-0001,2015-04-26,Susa,respiratory,severe,34,1,1,background_seasonal,7,6.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00009,G-0001,2015-05-01,Susa,gastrointestinal,moderate,8,1,0,background_seasonal,6,0.0,3,True,severe,1.0,tourism_attributed,silverback,False
GHE-00010,G-0001,2015-05-13,Susa,respiratory,severe,35,1,0,tourism_linked,5,3.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00011,G-0001,2015-05-11,Susa,gastrointestinal,severe,19,1,1,background_seasonal,6,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00012,G-0001,2015-05-10,Susa,dermatological,mild,8,1,0,background_seasonal,6,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00013,G-0001,2015-06-26,Susa,gastrointestinal,mild,6,1,0,background_seasonal,7,1.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00014,G-0001,2015-06-29,Susa,respiratory,mild,6,1,0,background_seasonal,5,2.0,2,True,moderate,1.0,tourism_attributed,silverback,False
GHE-00015,G-0001,2015-09-16,Susa,dermatological,mild,6,1,0,background_seasonal,1,8.0,1,True,mild,0.49,tourism_possible,silverback,False
GHE-00016,G-0001,2015-10-09,Susa,respiratory,severe,25,1,0,tourism_linked,4,3.0,1,True,mild,0.87,tourism_attributed,silverback,False
GHE-00017,G-0001,2015-10-04,Susa,respiratory,moderate,11,1,1,background_seasonal,2,7.0,1,True,mild,0.63,tourism_attributed,silverback,False
GHE-00018,G-0001,2015-10-11,Susa,respiratory,moderate,11,1,1,background_seasonal,7,0.0,2,True,moderate,1.0,tourism_attributed,silverback,False
