event_id,gorilla_id,event_date,group_id,illness_type,severity,days_ill,recovered,veterinary_treated,transmission_source,linked_tourist_visit
GHE-04020,G-0025,2016-09-27,Susa,respiratory,fatal,20,False,True,tourism_linked,2016-09-20
GHE-04023,G-0025,2016-10-22,Susa,respiratory,fatal,18,False,True,tourism_linked,2016-10-09
GHE-04034,G-0025,2017-01-04,Susa,other,fatal,10,False,False,background_seasonal,
GHE-04048,G-0025,2017-03-23,Susa,respiratory,fatal,17,False,False,maternal_intragroup,
GHE-03963,G-0025,2015-10-16,Susa,respiratory,fatal,11,False,True,tourism_linked,2015-10-06
GHE-20704,G-0105,2022-01-15,Umubano,respiratory,fatal,14,False,True,maternal_intragroup,
GHE-20712,G-0105,2022-03-21,Umubano,respiratory,fatal,10,False,True,background_seasonal,
GHE-20715,G-0105,2022-03-27,Umubano,respiratory,fatal,17,False,True,background_seasonal,
GHE-20717,G-0105,2022-04-05,Umubano,respiratory,fatal,5,False,True,background_seasonal,
GHE-20720,G-0105,2022-04-16,Umubano,other,fatal,11,False,True,background_seasonal,
GHE-20743,G-0105,2022-10-06,Umubano,respiratory,fatal,10,False,False,maternal_intragroup,
GHE-20746,G-0105,2022-10-13,Umubano,respiratory,fatal,13,False,True,background_seasonal,
GHE-00041,G-0001,2016-07-23,Susa,respiratory,fatal,9,False,True,tourism_linked,2016-07-14
GHE-04064,G-0025,2017-05-31,Susa,respiratory,fatal,13,False,True,tourism_linked,2017-05-29
GHE-04068,G-0025,2017-07-20,Susa,respiratory,fatal,11,False,False,background_seasonal,
GHE-04078,G-0025,2017-10-07,Susa,respiratory,fatal,9,False,True,maternal_intragroup,
GHE-04079,G-0025,2017-10-29,Susa,respiratory,fatal,11,False,True,tourism_linked,2017-10-15
GHE-20647,G-0105,2021-01-28,Umubano,dermatological,fatal,16,False,False,background_seasonal,
GHE-20653,G-0105,2021-03-03,Umubano,respiratory,fatal,6,False,True,maternal_intragroup,
GHE-00057,G-0001,2017-02-27,Susa,respiratory,fatal,21,False,True,tourism_linked,2017-02-17
GHE-20690,G-0105,2021-10-23,Umubano,respiratory,fatal,21,False,True,background_seasonal,
GHE-20700,G-0105,2021-12-05,Umubano,respiratory,fatal,15,False,True,background_seasonal,
GHE-04115,G-0025,2018-05-04,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-04138,G-0025,2018-10-20,Susa,respiratory,fatal,20,False,True,maternal_intragroup,
GHE-04139,G-0025,2018-10-27,Susa,respiratory,fatal,15,False,True,maternal_intragroup,
GHE-03927,G-0025,2015-02-17,Susa,respiratory,fatal,15,False,True,background_seasonal,
GHE-04154,G-0025,2019-02-01,Susa,respiratory,fatal,16,False,True,maternal_intragroup,
GHE-04180,G-0025,2019-08-22,Susa,respiratory,fatal,10,False,True,background_seasonal,
GHE-04184,G-0025,2019-09-20,Susa,respiratory,fatal,12,False,False,background_seasonal,
GHE-03905,G-0024,2023-10-06,Susa,gastrointestinal,fatal,20,False,True,background_seasonal,
GHE-03914,G-0024,2023-12-06,Susa,respiratory,fatal,17,False,True,background_seasonal,
GHE-03916,G-0024,2023-12-12,Susa,respiratory,fatal,13,False,False,background_seasonal,
GHE-04222,G-0025,2020-04-21,Susa,respiratory,fatal,21,False,False,maternal_intragroup,
GHE-04229,G-0025,2020-05-09,Susa,other,fatal,6,False,True,background_seasonal,
GHE-04233,G-0025,2020-05-29,Susa,respiratory,fatal,14,False,False,maternal_intragroup,
GHE-03892,G-0024,2023-07-10,Susa,respiratory,fatal,12,False,False,background_seasonal,
GHE-03898,G-0024,2023-09-09,Susa,respiratory,fatal,8,False,True,maternal_intragroup,
GHE-03902,G-0024,2023-10-02,Susa,respiratory,fatal,18,False,True,tourism_linked,2023-09-21
GHE-20608,G-0105,2020-05-19,Umubano,gastrointestinal,fatal,16,False,True,background_seasonal,
GHE-20610,G-0105,2020-05-25,Umubano,respiratory,fatal,15,False,True,background_seasonal,
GHE-20613,G-0105,2020-06-06,Umubano,respiratory,fatal,8,False,False,tourism_linked,2020-06-03
GHE-20616,G-0105,2020-07-15,Umubano,respiratory,fatal,8,False,True,background_seasonal,
GHE-20619,G-0105,2020-08-19,Umubano,respiratory,fatal,11,False,False,background_seasonal,
GHE-20621,G-0105,2020-09-25,Umubano,respiratory,fatal,17,False,True,tourism_linked,2020-09-11
GHE-00073,G-0001,2017-10-05,Susa,respiratory,fatal,15,False,True,tourism_linked,2017-09-28
GHE-00076,G-0001,2017-11-07,Susa,respiratory,fatal,12,False,True,background_seasonal,
GHE-04261,G-0025,2020-12-19,Susa,respiratory,fatal,5,False,True,tourism_linked,2020-12-08
GHE-04276,G-0025,2021-04-13,Susa,respiratory,fatal,18,False,True,maternal_intragroup,
GHE-04304,G-0025,2021-11-26,Susa,dermatological,fatal,17,False,True,background_seasonal,
GHE-03878,G-0024,2023-05-05,Susa,gastrointestinal,fatal,19,False,False,background_seasonal,
GHE-03881,G-0024,2023-05-07,Susa,respiratory,fatal,9,False,True,maternal_intragroup,
GHE-20551,G-0105,2019-04-06,Umubano,respiratory,fatal,19,False,False,background_seasonal,
GHE-20588,G-0105,2019-12-25,Umubano,respiratory,fatal,18,False,True,maternal_intragroup,
GHE-00081,G-0001,2018-02-11,Susa,respiratory,fatal,14,False,True,background_seasonal,
GHE-00085,G-0001,2018-04-11,Susa,respiratory,fatal,7,False,True,tourism_linked,2018-03-29
GHE-00096,G-0001,2018-08-13,Susa,respiratory,fatal,20,False,True,tourism_linked,2018-08-05
GHE-04314,G-0025,2022-01-29,Susa,respiratory,fatal,11,False,True,background_seasonal,
GHE-04332,G-0025,2022-05-26,Susa,respiratory,fatal,10,False,False,background_seasonal,
GHE-04337,G-0025,2022-06-07,Susa,respiratory,fatal,21,False,True,tourism_linked,2022-05-31
GHE-04356,G-0025,2022-10-29,Susa,respiratory,fatal,16,False,False,maternal_intragroup,
GHE-04362,G-0025,2022-12-13,Susa,respiratory,fatal,12,False,True,maternal_intragroup,
GHE-04364,G-0025,2022-12-26,Susa,respiratory,fatal,19,False,False,maternal_intragroup,
GHE-03857,G-0024,2023-02-21,Susa,respiratory,fatal,11,False,False,maternal_intragroup,
GHE-04385,G-0025,2023-06-16,Susa,respiratory,fatal,11,False,True,tourism_linked,2023-06-12
GHE-04398,G-0025,2023-11-06,Susa,respiratory,fatal,16,False,False,background_seasonal,
GHE-04406,G-0026,2015-01-21,Susa,respiratory,fatal,11,False,True,background_seasonal,
GHE-04407,G-0026,2015-01-22,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-04415,G-0026,2015-03-11,Susa,respiratory,fatal,21,False,True,background_seasonal,
GHE-04416,G-0026,2015-03-17,Susa,respiratory,fatal,9,False,True,maternal_intragroup,
GHE-04424,G-0026,2015-04-16,Susa,respiratory,fatal,21,False,True,background_seasonal,
GHE-20460,G-0105,2017-06-21,Umubano,other,fatal,9,False,False,background_seasonal,
GHE-20488,G-0105,2018-02-05,Umubano,respiratory,fatal,14,False,True,background_seasonal,
GHE-20501,G-0105,2018-04-24,Umubano,respiratory,fatal,6,False,True,maternal_intragroup,
GHE-20504,G-0105,2018-05-04,Umubano,respiratory,fatal,11,False,True,background_seasonal,
GHE-20521,G-0105,2018-10-21,Umubano,respiratory,fatal,13,False,True,maternal_intragroup,
GHE-00112,G-0001,2019-04-04,Susa,respiratory,fatal,10,False,True,background_seasonal,
GHE-20531,G-0105,2018-12-14,Umubano,respiratory,fatal,14,False,True,background_seasonal,
GHE-20544,G-0105,2019-03-11,Umubano,gastrointestinal,fatal,14,False,False,background_seasonal,
GHE-04447,G-0026,2015-11-12,Susa,respiratory,fatal,13,False,True,background_seasonal,
GHE-04453,G-0026,2015-12-30,Susa,respiratory,fatal,11,False,True,tourism_linked,2015-12-27
GHE-04466,G-0026,2016-02-14,Susa,respiratory,fatal,10,False,False,maternal_intragroup,
GHE-04469,G-0026,2016-02-21,Susa,respiratory,fatal,9,False,True,maternal_intragroup,
GHE-03834,G-0024,2022-08-03,Susa,respiratory,fatal,17,False,True,maternal_intragroup,
GHE-20419,G-0105,2016-12-17,Umubano,respiratory,fatal,11,False,True,tourism_linked,2016-12-12
GHE-20455,G-0105,2017-05-17,Umubano,respiratory,fatal,6,False,False,background_seasonal,
GHE-04496,G-0026,2016-06-20,Susa,respiratory,fatal,13,False,False,background_seasonal,
GHE-04504,G-0026,2016-09-03,Susa,respiratory,fatal,13,False,True,tourism_linked,2016-08-26
GHE-04507,G-0026,2016-10-15,Susa,respiratory,fatal,9,False,True,background_seasonal,
GHE-04519,G-0026,2016-12-23,Susa,respiratory,fatal,17,False,True,background_seasonal,
GHE-04522,G-0026,2017-01-26,Susa,respiratory,fatal,16,False,False,tourism_linked,2017-01-18
GHE-04525,G-0026,2017-02-04,Susa,respiratory,fatal,12,False,False,background_seasonal,
GHE-04533,G-0026,2017-03-25,Susa,respiratory,fatal,7,False,True,background_seasonal,
GHE-04544,G-0026,2017-07-07,Susa,respiratory,fatal,13,False,True,tourism_linked,2017-06-23
GHE-03806,G-0024,2022-03-20,Susa,respiratory,fatal,6,False,True,background_seasonal,
GHE-04560,G-0026,2017-08-31,Susa,respiratory,fatal,9,False,True,tourism_linked,2017-08-23
GHE-04563,G-0026,2017-09-16,Susa,respiratory,fatal,20,False,True,background_seasonal,
GHE-04564,G-0026,2017-09-30,Susa,respiratory,fatal,7,False,False,background_seasonal,
GHE-04571,G-0026,2017-10-23,Susa,gastrointestinal,fatal,8,False,False,background_seasonal,
GHE-04576,G-0026,2017-11-18,Susa,gastrointestinal,fatal,10,False,True,background_seasonal,
GHE-04595,G-0026,2018-03-06,Susa,respiratory,fatal,5,False,True,maternal_intragroup,
GHE-04598,G-0026,2018-03-31,Susa,respiratory,fatal,10,False,True,background_seasonal,
GHE-20365,G-0105,2016-03-09,Umubano,gastrointestinal,fatal,20,False,True,background_seasonal,
GHE-20371,G-0105,2016-03-28,Umubano,respiratory,fatal,21,False,True,background_seasonal,
GHE-20379,G-0105,2016-04-21,Umubano,respiratory,fatal,18,False,True,background_seasonal,
GHE-20385,G-0105,2016-05-05,Umubano,respiratory,fatal,20,False,True,background_seasonal,
GHE-20387,G-0105,2016-05-10,Umubano,respiratory,fatal,19,False,True,background_seasonal,
GHE-00131,G-0001,2019-11-04,Susa,respiratory,fatal,12,False,True,background_seasonal,
GHE-00133,G-0001,2019-12-10,Susa,respiratory,fatal,6,False,True,background_seasonal,
GHE-20403,G-0105,2016-09-30,Umubano,respiratory,fatal,20,False,False,background_seasonal,
