date,year,month,day_of_year,season,rainfall_mm,temp_max_c,temp_min_c,temp_mean_c,humidity_pct
2015-01-01,2015,1,1,dry_short,5.09,18.3,7.9,13.1,65.4
2015-01-02,2015,1,2,dry_short,10.94,18.6,10.2,14.4,55.6
2015-01-03,2015,1,3,dry_short,1.31,16.7,7.9,12.3,68.8
2015-01-04,2015,1,4,dry_short,2.51,15.8,8.1,11.9,61.0
2015-01-05,2015,1,5,dry_short,4.38,17.3,10.7,14.0,66.8
2015-01-06,2015,1,6,dry_short,9.55,16.9,9.8,13.4,61.5
2015-01-07,2015,1,7,dry_short,8.67,17.7,7.4,12.5,70.1
2015-01-08,2015,1,8,dry_short,6.41,15.9,10.3,13.1,66.4
2015-01-09,2015,1,9,dry_short,2.06,17.2,8.3,12.7,67.3
2015-01-10,2015,1,10,dry_short,2.12,18.3,8.0,13.2,60.5
2015-01-11,2015,1,11,dry_short,5.36,15.6,9.5,12.6,73.0
2015-01-12,2015,1,12,dry_short,4.18,18.1,10.3,14.2,63.8
2015-01-13,2015,1,13,dry_short,1.42,13.8,11.2,12.5,72.9
2015-01-14,2015,1,14,dry_short,0.19,14.4,7.8,11.1,67.6
2015-01-15,2015,1,15,dry_short,2.57,17.6,9.6,13.6,67.8
2015-01-16,2015,1,16,dry_short,5.0,17.9,9.5,13.7,68.2
2015-01-17,2015,1,17,dry_short,2.98,15.7,9.1,12.4,62.6
2015-01-18,2015,1,18,dry_short,2.13,17.6,9.0,13.3,53.0
2015-01-19,2015,1,19,dry_short,0.01,14.9,7.5,11.2,69.5
2015-01-20,2015,1,20,dry_short,6.52,16.4,9.5,13.0,64.6
2015-01-21,2015,1,21,dry_short,0.83,18.8,9.4,14.1,56.1
2015-01-22,2015,1,22,dry_short,5.18,15.5,8.9,12.2,56.7
2015-01-23,2015,1,23,dry_short,3.89,17.4,8.1,12.7,54.0
2015-01-24,2015,1,24,dry_short,1.28,18.2,8.6,13.4,61.1
2015-01-25,2015,1,25,dry_short,3.39,17.4,9.1,13.3,72.9
2015-01-26,2015,1,26,dry_short,6.41,16.3,7.5,11.9,71.7
2015-01-27,2015,1,27,dry_short,3.45,17.4,9.1,13.3,77.5
2015-01-28,2015,1,28,dry_short,6.45,16.9,9.5,13.2,67.0
2015-01-29,2015,1,29,dry_short,0.84,16.8,9.7,13.2,52.6
2015-01-30,2015,1,30,dry_short,1.74,15.1,8.7,11.9,71.6
2015-01-31,2015,1,31,dry_short,1.51,15.4,9.7,12.5,66.1
2015-02-01,2015,2,32,dry_short,6.39,17.7,8.9,13.3,65.0
2015-02-02,2015,2,33,dry_short,8.41,20.7,9.6,15.1,68.5
2015-02-03,2015,2,34,dry_short,0.91,16.7,9.1,12.9,59.9
2015-02-04,2015,2,35,dry_short,3.51,17.8,10.6,14.2,67.7
2015-02-05,2015,2,36,dry_short,0.1,16.3,10.4,13.4,53.1
2015-02-06,2015,2,37,dry_short,5.59,14.6,10.9,12.7,56.0
2015-02-07,2015,2,38,dry_short,15.78,12.4,8.6,10.5,61.6
2015-02-08,2015,2,39,dry_short,1.73,17.5,7.4,12.5,64.5
2015-02-09,2015,2,40,dry_short,4.62,18.0,9.7,13.8,70.4
2015-02-10,2015,2,41,dry_short,0.77,19.2,8.1,13.7,63.9
2015-02-11,2015,2,42,dry_short,8.54,18.9,8.8,13.8,66.5
2015-02-12,2015,2,43,dry_short,0.71,19.1,8.9,14.0,67.7
2015-02-13,2015,2,44,dry_short,1.28,14.5,10.1,12.3,50.6
2015-02-14,2015,2,45,dry_short,0.85,15.6,7.3,11.4,63.9
2015-02-15,2015,2,46,dry_short,3.0,16.4,9.1,12.8,69.2
2015-02-16,2015,2,47,dry_short,4.19,17.8,9.8,13.8,77.2
2015-02-17,2015,2,48,dry_short,0.94,16.7,8.9,12.8,57.5
2015-02-18,2015,2,49,dry_short,3.41,15.5,9.2,12.3,60.4
2015-02-19,2015,2,50,dry_short,2.03,18.2,10.2,14.2,68.3
2015-02-20,2015,2,51,dry_short,2.25,17.1,7.6,12.3,59.6
2015-02-21,2015,2,52,dry_short,7.84,17.1,7.6,12.3,63.5
2015-02-22,2015,2,53,dry_short,0.49,17.3,6.4,11.9,58.6
2015-02-23,2015,2,54,dry_short,0.47,17.9,11.7,14.8,66.4
2015-02-24,2015,2,55,dry_short,3.14,19.2,7.8,13.5,55.1
2015-02-25,2015,2,56,dry_short,1.31,14.9,8.8,11.8,66.4
2015-02-26,2015,2,57,dry_short,1.21,14.1,9.9,12.0,61.2
2015-02-27,2015,2,58,dry_short,5.01,15.8,9.9,12.9,54.9
2015-02-28,2015,2,59,dry_short,3.09,17.6,8.1,12.8,67.7
2015-03-01,2015,3,60,wet_long,14.58,13.0,5.2,9.1,78.3
2015-03-02,2015,3,61,wet_long,7.62,16.4,6.2,11.3,78.3
2015-03-03,2015,3,62,wet_long,4.57,14.9,6.1,10.5,75.8
2015-03-04,2015,3,63,wet_long,51.56,10.6,8.6,9.6,70.4
2015-03-05,2015,3,64,wet_long,5.96,13.7,6.4,10.0,85.5
2015-03-06,2015,3,65,wet_long,8.81,15.0,4.9,9.9,81.1
2015-03-07,2015,3,66,wet_long,8.75,15.1,4.6,9.9,93.1
2015-03-08,2015,3,67,wet_long,1.63,13.9,8.7,11.3,83.9
2015-03-09,2015,3,68,wet_long,21.73,12.9,6.9,9.9,71.8
2015-03-10,2015,3,69,wet_long,4.98,14.2,5.6,9.9,71.8
2015-03-11,2015,3,70,wet_long,3.96,11.8,7.3,9.5,86.7
2015-03-12,2015,3,71,wet_long,1.09,14.6,5.8,10.2,84.1
2015-03-13,2015,3,72,wet_long,10.88,17.8,7.2,12.5,86.9
2015-03-14,2015,3,73,wet_long,3.96,15.1,8.2,11.7,79.0
2015-03-15,2015,3,74,wet_long,15.56,13.5,6.1,9.8,79.2
2015-03-16,2015,3,75,wet_long,5.59,13.6,7.1,10.3,68.5
2015-03-17,2015,3,76,wet_long,0.04,13.0,5.8,9.4,76.5
2015-03-18,2015,3,77,wet_long,5.59,13.9,8.0,11.0,81.7
2015-03-19,2015,3,78,wet_long,2.26,15.8,5.5,10.7,80.7
2015-03-20,2015,3,79,wet_long,14.43,15.2,6.7,10.9,81.9
2015-03-21,2015,3,80,wet_long,0.63,13.9,5.2,9.6,79.9
2015-03-22,2015,3,81,wet_long,20.38,12.7,6.6,9.6,73.0
2015-03-23,2015,3,82,wet_long,9.84,12.8,8.5,10.6,75.2
2015-03-24,2015,3,83,wet_long,7.84,12.5,7.2,9.9,80.9
2015-03-25,2015,3,84,wet_long,15.39,14.6,6.9,10.8,72.3
2015-03-26,2015,3,85,wet_long,21.33,10.8,7.9,9.4,70.8
2015-03-27,2015,3,86,wet_long,32.71,14.3,7.8,11.1,79.8
2015-03-28,2015,3,87,wet_long,5.24,12.9,6.7,9.8,94.3
2015-03-29,2015,3,88,wet_long,2.22,16.9,8.1,12.5,85.8
2015-03-30,2015,3,89,wet_long,13.62,14.9,8.2,11.5,85.8
2015-03-31,2015,3,90,wet_long,8.05,14.7,4.6,9.6,74.3
2015-04-01,2015,4,91,wet_long,24.21,16.7,8.8,12.7,90.1
2015-04-02,2015,4,92,wet_long,1.66,14.2,6.9,10.6,82.4
2015-04-03,2015,4,93,wet_long,6.75,12.2,6.6,9.4,87.4
2015-04-04,2015,4,94,wet_long,7.72,14.2,7.0,10.6,75.5
2015-04-05,2015,4,95,wet_long,1.24,14.0,5.8,9.9,84.3
2015-04-06,2015,4,96,wet_long,18.39,11.5,6.6,9.0,88.2
2015-04-07,2015,4,97,wet_long,1.69,14.3,5.7,10.0,84.3
2015-04-08,2015,4,98,wet_long,6.37,16.1,8.0,12.1,80.1
2015-04-09,2015,4,99,wet_long,3.67,14.5,6.5,10.5,79.0
2015-04-10,2015,4,100,wet_long,4.62,13.3,7.1,10.2,83.6
2015-04-11,2015,4,101,wet_long,25.61,12.5,6.1,9.3,83.9
